"Year","Treat.Code","Plot","Subplot","Species","germ.tot","germ.proj","trt.mort","pst.mort","tot.mort","viable"
2017,"C",56,"No Grass","Calycadenia pauciflora",8,8,0,4,4,31
2017,"C",56,"No Grass","Agoseris heterophylla",74,15,0,1,1,94
2017,"C",56,"Grass","Hemizonia congesta",30,15,0,0,0,32
2017,"C",56,"Thatch","Clarkia purpurea",7,7,0,7,7,30
2017,"C",56,"Grass","Agoseris heterophylla",93,15,0,0,0,94
2017,"C",56,"Thatch","Hemizonia congesta",29,15,0,7,7,32
2017,"C",56,"No Grass","Clarkia purpurea",18,15,0,8,8,30
2017,"C",56,"Grass","Lasthenia californica",12,12,1,0,1,100
2017,"C",56,"Thatch","Agoseris heterophylla",22,16,2,0,2,94
2017,"C",56,"Grass","Calycadenia pauciflora",15,15,0,11,11,31
2017,"C",56,"Grass","Plantago erecta",60,15,0,0,0,99
2017,"C",56,"No Grass","Hemizonia congesta",28,15,1,2,3,32
2017,"C",56,"No Grass","Plantago erecta",96,15,0,0,0,99
2017,"C",56,"Grass","Clarkia purpurea",9,11,0,6,6,30
2017,"C",56,"Thatch","Plantago erecta",52,15,0,0,0,99
2017,"W",59,"Grass","Hemizonia congesta",32,15,0,6,6,32
2017,"W",59,"Thatch","Calycadenia pauciflora",7,7,2,2,4,31
2017,"W",59,"Thatch","Agoseris heterophylla",70,17,2,0,2,94
2017,"W",59,"Thatch","Lasthenia californica",47,15,0,1,1,100
2017,"W",59,"No Grass","Clarkia purpurea",7,10,0,6,6,30
2017,"W",59,"No Grass","Plantago erecta",67,15,0,0,0,99
2017,"W",59,"No Grass","Agoseris heterophylla",78,15,0,0,0,94
2017,"W",59,"Grass","Lasthenia californica",39,15,0,0,0,100
2017,"W",59,"Grass","Clarkia purpurea",7,9,1,7,8,30
2017,"W",59,"Grass","Plantago erecta",76,15,0,0,0,99
2017,"W",59,"No Grass","Lasthenia californica",22,15,0,0,0,100
2017,"W",59,"Thatch","Plantago erecta",47,16,1,0,1,99
2017,"W",59,"Thatch","Clarkia purpurea",6,6,2,3,5,30
2017,"W",59,"Grass","Agoseris heterophylla",90,15,0,0,0,94
2017,"W",59,"No Grass","Hemizonia congesta",10,15,0,8,8,32
2017,"W",59,"No Grass","Calycadenia pauciflora",10,11,0,8,8,31
2017,"W",59,"Grass","Calycadenia pauciflora",17,16,1,13,14,31
2017,"W",59,"Thatch","Hemizonia congesta",25,17,3,8,11,32
2017,"D",81,"Thatch","Hemizonia congesta",12,13,0,6,6,32
2017,"D",81,"Thatch","Agoseris heterophylla",88,16,1,8,9,94
2017,"D",81,"Thatch","Lasthenia californica",48,15,0,7,7,100
2017,"D",81,"Thatch","Clarkia purpurea",20,17,2,7,9,30
2017,"D",81,"Thatch","Calycadenia pauciflora",16,15,1,8,9,31
2017,"D",81,"Grass","Hemizonia congesta",25,15,0,0,0,32
2017,"D",81,"No Grass","Plantago erecta",89,16,1,0,1,99
2017,"D",81,"No Grass","Lasthenia californica",83,15,0,0,0,100
2017,"D",81,"No Grass","Hemizonia congesta",12,12,0,5,5,32
2017,"D",81,"No Grass","Agoseris heterophylla",87,15,0,2,2,94
2017,"D",81,"Grass","Agoseris heterophylla",78,15,0,12,12,94
2017,"D",81,"Thatch","Plantago erecta",67,15,0,0,0,99
2017,"D",81,"No Grass","Calycadenia pauciflora",14,14,0,7,7,31
2017,"D",81,"Grass","Calycadenia pauciflora",17,15,0,4,4,31
2017,"D",81,"Grass","Lasthenia californica",67,16,1,0,1,100
2017,"D",81,"Grass","Plantago erecta",89,15,0,0,0,99
2017,"D",81,"No Grass","Clarkia purpurea",6,6,0,2,2,30
2017,"D",81,"Grass","Clarkia purpurea",16,15,1,7,8,30
2017,"C",82,"Thatch","Hemizonia congesta",14,14,1,11,12,32
2017,"C",82,"No Grass","Lasthenia californica",71,24,9,0,9,100
2017,"C",82,"Grass","Agoseris heterophylla",68,18,3,2,5,94
2017,"C",82,"No Grass","Agoseris heterophylla",77,16,2,0,2,94
2017,"C",82,"Grass","Calycadenia pauciflora",17,15,4,8,12,31
2017,"C",82,"Grass","Hemizonia congesta",10,14,1,8,9,32
2017,"C",82,"No Grass","Clarkia purpurea",14,15,13,1,14,30
2017,"C",82,"Thatch","Plantago erecta",70,15,0,0,0,99
2017,"C",82,"Thatch","Clarkia purpurea",13,14,3,10,13,30
2017,"C",82,"No Grass","Hemizonia congesta",8,10,2,0,2,32
2017,"C",82,"No Grass","Plantago erecta",21,20,11,1,12,99
2017,"C",82,"No Grass","Calycadenia pauciflora",21,15,1,2,3,31
2017,"C",82,"Thatch","Agoseris heterophylla",37,15,1,3,4,94
2017,"C",82,"Grass","Lasthenia californica",48,16,3,1,4,100
2017,"C",82,"Thatch","Lasthenia californica",58,18,3,3,6,100
2017,"C",82,"Thatch","Calycadenia pauciflora",5,5,1,4,5,31
2017,"C",82,"Grass","Clarkia purpurea",26,15,3,9,12,30
2017,"C",82,"Grass","Plantago erecta",87,18,3,1,4,99
2017,"D",83,"No Grass","Calycadenia pauciflora",14,14,0,7,7,31
2017,"D",83,"Thatch","Plantago erecta",58,15,0,8,8,99
2017,"D",83,"Thatch","Clarkia purpurea",20,16,1,13,14,30
2017,"D",83,"Grass","Hemizonia congesta",20,15,0,0,0,32
2017,"D",83,"No Grass","Hemizonia congesta",13,15,0,14,14,32
2017,"D",83,"No Grass","Plantago erecta",71,15,0,0,0,99
2017,"D",83,"Grass","Clarkia purpurea",20,16,1,2,3,30
2017,"D",83,"Thatch","Hemizonia congesta",23,15,0,15,15,32
2017,"D",83,"Thatch","Calycadenia pauciflora",20,15,3,12,15,31
2017,"D",83,"Grass","Lasthenia californica",50,15,0,0,0,100
2017,"D",83,"No Grass","Agoseris heterophylla",86,15,0,0,0,94
2017,"D",83,"Grass","Plantago erecta",54,15,0,0,0,99
2017,"D",83,"No Grass","Lasthenia californica",81,15,0,0,0,100
2017,"D",83,"No Grass","Clarkia purpurea",25,15,1,2,3,30
2017,"D",83,"Thatch","Lasthenia californica",50,15,0,11,11,100
2017,"D",83,"Thatch","Agoseris heterophylla",63,15,0,2,2,94
2017,"D",83,"Grass","Calycadenia pauciflora",11,13,0,1,1,31
2017,"D",83,"Grass","Agoseris heterophylla",87,15,0,1,1,94
2017,"C",84,"No Grass","Clarkia purpurea",17,15,1,7,8,30
2017,"C",84,"Grass","Plantago erecta",72,15,0,1,1,99
2017,"C",84,"Thatch","Agoseris heterophylla",57,19,4,7,11,94
2017,"C",84,"No Grass","Plantago erecta",69,15,0,0,0,99
2017,"C",84,"No Grass","Hemizonia congesta",28,15,1,3,4,32
2017,"C",84,"Grass","Hemizonia congesta",10,13,3,1,4,32
2017,"C",84,"Thatch","Plantago erecta",59,15,0,3,3,99
2017,"C",84,"Thatch","Hemizonia congesta",22,15,0,10,10,32
2017,"C",84,"No Grass","Lasthenia californica",56,15,0,0,0,100
2017,"C",84,"Thatch","Clarkia purpurea",21,16,1,11,12,30
2017,"C",84,"Grass","Calycadenia pauciflora",8,9,1,3,4,31
2017,"C",84,"Thatch","Calycadenia pauciflora",8,8,0,8,8,31
2017,"C",84,"No Grass","Calycadenia pauciflora",6,9,0,5,5,31
2017,"C",84,"No Grass","Agoseris heterophylla",82,15,0,0,0,94
2017,"C",84,"Grass","Lasthenia californica",64,15,0,0,0,100
2017,"C",84,"Grass","Agoseris heterophylla",94,16,1,3,4,94
2017,"C",84,"Grass","Clarkia purpurea",15,14,2,9,11,30
2017,"C",84,"Thatch","Lasthenia californica",52,15,0,0,0,100
2017,"D",85,"No Grass","Calycadenia pauciflora",29,16,2,0,2,31
2017,"D",85,"Grass","Hemizonia congesta",12,15,0,2,2,32
2017,"D",85,"Thatch","Hemizonia congesta",21,15,0,1,1,32
2017,"D",85,"Grass","Clarkia purpurea",20,15,0,7,7,30
2017,"D",85,"Thatch","Clarkia purpurea",30,15,0,4,4,30
2017,"D",85,"Grass","Plantago erecta",74,15,0,0,0,99
