Species,Plot,Subplot,Treat.Code,Year,Date,flo.a,flo.b,flo.c,avg.flo,sd.flo,n.ind,avg.seed.inf,n.seed.ind,cov.g,p.viable
Plantago erecta,56,Thatch,C,2017,5/19/17,0,12,3,4.4,1.140175425,5,2,8.8,55,0.896396396
Plantago erecta,50,Thatch,C,2017,5/19/17,0,0,13,1.6,0.894427191,5,2,3.2,80,0.896396396
Plantago erecta,92,Thatch,C,2017,5/19/17,0,12,1,6,2.236067977,5,2,12,80,0.896396396
Plantago erecta,30,Thatch,C,2017,5/19/17,0,6,9,4.4,1.673320053,5,2,8.8,50,0.896396396
Plantago erecta,96,Grass,C,2017,5/19/17,0,15,0,6.2,2.588435821,5,2,12.4,25,0.896396396
Plantago erecta,98,Grass,C,2017,5/19/17,0,4,11,2,0.707106781,5,2,4,80,0.896396396
Plantago erecta,86,Thatch,C,2017,5/19/17,0,4,10,3,1.732050808,5,2,6,45,0.896396396
Plantago erecta,50,Grass,C,2017,5/19/17,0,12,3,3.8,3.1144823,5,2,7.6,95,0.896396396
Plantago erecta,18,No Grass,C,2017,5/19/17,0,8,7,3.4,0.894427191,5,2,6.8,NA,0.896396396
Plantago erecta,96,No Grass,C,2017,5/19/17,0,0,2,11,4.301162634,5,2,22,NA,0.896396396
Plantago erecta,56,Grass,C,2017,5/19/17,0,4,11,6,3.082207001,5,2,12,80,0.896396396
Plantago erecta,50,No Grass,C,2017,5/19/17,0,15,0,3.2,0.836660027,5,2,6.4,NA,0.896396396
Plantago erecta,82,No Grass,C,2017,5/19/17,0,5,3,7.8,5.540758071,5,2,15.6,NA,0.896396396
Plantago erecta,30,No Grass,C,2017,5/19/17,0,0,15,4.8,2.28035085,5,2,9.6,NA,0.896396396
Plantago erecta,92,Grass,C,2017,5/19/17,0,11,4,3.8,1.483239697,5,2,7.6,100,0.896396396
Plantago erecta,30,Grass,C,2017,5/19/17,0,8,7,4.4,1.816590212,5,2,8.8,75,0.896396396
Plantago erecta,18,Thatch,C,2017,5/19/17,0,5,10,2.4,0.547722558,5,2,4.8,95,0.896396396
Plantago erecta,84,No Grass,C,2017,5/19/17,0,3,12,4.2,1.095445115,5,2,8.4,NA,0.896396396
Plantago erecta,84,Grass,C,2017,4/9/17,10,1,0,2,NA,1,2,4,50,0.896396396
Plantago erecta,82,Grass,C,2017,5/19/17,0,5,9,3.2,1.095445115,5,2,6.4,45,0.896396396
Plantago erecta,84,Thatch,C,2017,5/19/17,0,7,5,3.2,1.788854382,5,2,6.4,90,0.896396396
Plantago erecta,98,No Grass,C,2017,4/9/17,14,1,0,1,NA,1,2,2,NA,0.896396396
Plantago erecta,96,Thatch,C,2017,5/19/17,0,10,5,3.6,1.516575089,5,2,7.2,80,0.896396396
Plantago erecta,86,No Grass,C,2017,5/19/17,0,5,10,4.2,1.483239697,5,2,8.4,NA,0.896396396
Plantago erecta,82,Thatch,C,2017,5/19/17,0,14,1,1.4,0.547722558,5,2,2.8,80,0.896396396
Plantago erecta,86,Grass,C,2017,4/9/17,5,2,0,1,0,2,2,2,40,0.896396396
